編號,書名,網址
263,烈皇小識,https://zh.wikisource.org/wiki/烈皇小識
266,弘光實錄鈔,https://zh.wikisource.org/wiki/弘光實錄鈔
268,浙東紀略,https://zh.wikisource.org/wiki/浙東紀略
269,蜀碧,https://zh.wikisource.org/wiki/蜀碧
270,崇禎長編,https://zh.wikisource.org/wiki/崇禎長編
271,客滇述,https://zh.wikisource.org/wiki/客滇述
272,崇禎記聞錄,https://zh.wikisource.org/wiki/崇禎記聞錄
275,明季北略,https://zh.wikisource.org/wiki/明季北略
282,石匱書後集,https://zh.wikisource.org/wiki/石匱書後集
284,平定三逆方略,https://zh.wikisource.org/wiki/平定三逆方略
286,雪交亭正氣錄,https://zh.wikisource.org/wiki/雪交亭正氣錄
287,使琉球錄三種,https://zh.wikisource.org/wiki/使琉球錄三種
291,欽定勝朝殉節諸臣錄,https://zh.wikisource.org/wiki/欽定勝朝殉節諸臣錄
293,琉球國志略,https://zh.wikisource.org/wiki/琉球國志略
294,崇禎實錄,https://zh.wikisource.org/wiki/崇禎實錄
301,偏安排日事蹟,https://zh.wikisource.org/wiki/偏安排日事蹟
303,陳第年譜,https://zh.wikisource.org/wiki/陳第年譜
306,中山傳信錄,https://zh.wikisource.org/wiki/中山傳信錄
